# EIA Form 860 (2024) — Wind Farm Operators & Owners
# 928 unique companies, sorted by total installed capacity
# Generated: 2026-05-03
# Source: https://www.eia.gov/electricity/data/eia860/xls/eia8602024.zip
# Columns: MW (nameplate), Plants
    79.9 MW     1 plants  Laredo Ridge Wind LLC
    79.9 MW     1 plants  Broken Bow Wind LLC
    79.2 MW     1 plants  Rising Tree Wind Farm LLC
    78.4 MW     1 plants  Arkwright Summit Wind Farm LLC
    78.2 MW     1 plants  Vasco Winds, LLC
    78.2 MW     1 plants  NextEra Energy Montezuma Wind II, LLC
    78.2 MW     1 plants  Golden Spread Electric Cooperative, Inc
      78 MW     1 plants  Pecos Wind II LP
      78 MW     1 plants  Black Oak Wind, LLC
      78 MW     1 plants  Sendero Wind Energy, LLC
    77.7 MW     1 plants  Jericho Rise Wind Farm LLC
    74.8 MW     1 plants  Pheasant Run Wind LLC
    74.8 MW     1 plants  Steele Flats Wind Project LLC
    74.3 MW     1 plants  Blue Canyon Windpower LLC
    72.6 MW     1 plants  Weaver Wind, LLC (Longroad)
    71.4 MW     2 plants  SRIV Partnership LLC
      71 MW     2 plants  Green Mountain Power Corp
      70 MW     1 plants  Criterion Power Partners LLC
      70 MW     1 plants  Kossuth County Wind, LLC
      69 MW     1 plants  Michigan Wind 1, LLC
      69 MW     1 plants  Kawailoa Wind LLC
    66.1 MW     1 plants  Eurus Combine Hills II LLC
      66 MW     1 plants  Crystal Lake 3 LLC
      66 MW     1 plants  Hog Creek Wind Project LLC
    65.1 MW     1 plants  Axium Arizona Renewables, LLC
      65 MW     1 plants  Whitney Hill Wind Power LLC
    62.6 MW     1 plants  Spring Canyon Expansion LLC
    61.5 MW     1 plants  FPL Energy North Dakota Wind LLC
    61.2 MW     1 plants  Cirrus Wind 1 LLC
      61 MW     1 plants  Mountain Wind Power LLC
    60.2 MW     1 plants  Sky River Wind LLC
      60 MW     1 plants  Flat Water Wind Farm LLC
    59.8 MW     1 plants  Whirlwind Energy LLC
    59.8 MW     1 plants  Blackwell Wind, LLC
    59.4 MW     1 plants  Nebraska Public Power District
    59.4 MW     1 plants  Harvest II Windfarm, LLC
    59.4 MW     2 plants  Black Hills Electric Generation LLC
    57.6 MW     1 plants  Utah Associated Mun Power Sys
    56.7 MW     1 plants  Wind Capital Holdings, LLC
    55.4 MW     1 plants  Howard Wind LLC (Longroad)
    55.4 MW     1 plants  Independence Wind Energy LLC
      54 MW     1 plants  Butler Ridge Wind Energy Center
    53.7 MW     1 plants  Pinnacle Wind, LLC
    52.8 MW     1 plants  Harvest Windfarm, LLC
    52.8 MW     1 plants  Silver Star I Power Partners LLC
    52.5 MW     1 plants  Black Hills Service Company LLC
    51.8 MW     1 plants  Lakeswind Power Partners
      51 MW     1 plants  Wessington Wind
    50.9 MW     1 plants  Casa Mesa Wind, LLC
    50.6 MW     1 plants  FPL Energy Oliver County Wind
    50.6 MW     1 plants  Record Hill Wind LLC
    50.4 MW     1 plants  Cow Branch Wind Power, LLC
    50.4 MW     1 plants  CR Clearing, LLC
    50.4 MW     1 plants  Capital Power Corporation
    50.4 MW     1 plants  Beebe 1B Renewable Energy, LLC
    50.4 MW     1 plants  Cotton Plains Wind I, LLC
    50.4 MW     1 plants  Hidalgo Wind Farm II LLC
      50 MW     2 plants  Roth Rock Wind Farm LLC
    49.7 MW     2 plants  NorthWestern Energy (MT wind/thermal)
    49.6 MW     1 plants  Osceola Windpower II
    49.5 MW     1 plants  FPL Energy Operating Services, Inc.
    49.5 MW     1 plants  FPL Energy Burleigh County Wind LLC
    49.5 MW     1 plants  Wilton Wind II LLC
    49.5 MW     1 plants  Diamond Shamrock Refining Company LP
      48 MW     1 plants  FPL Energy Oliver County Wind II LLC
    46.5 MW     2 plants  Wind Wall 1 LLC
      46 MW     1 plants  Golden Hills Interconnection Wind, LLC
    44.6 MW     1 plants  Palmer's Creek Wind Farm, LLC
      44 MW     1 plants  Minnesota Municipal Power Agny
    43.7 MW     3 plants  Junction Hilltop Management LLC
    43.6 MW     2 plants  Brookfield Renewable Trading and Marketing LP
      43 MW     1 plants  Justin McNeilus
      43 MW     1 plants  Eurus Combine Hills I LLC
    42.7 MW     2 plants  San Gorgonio Farms Inc
      42 MW     1 plants  Hawkeye Power Partners LLC
      42 MW     1 plants  Cerro Gordo Wind Farm
    40.5 MW     1 plants  FPL Energy South Dakota Wind LLC
    40.5 MW     1 plants  TPW Petersburg LLC
      40 MW     1 plants  Crofton Bluffs Wind, LLC
      40 MW     2 plants  BEAM US, LLC
      40 MW     1 plants  High Mesa Energy, LLC
      40 MW     1 plants  Fourmile Wind Energy, LLC
      40 MW     4 plants  Orchard Windfarm, LLC
    39.9 MW     1 plants  Ringer Hill Wind LLC
    38.9 MW     1 plants  Salka Cabazon Wind LLC
    38.7 MW     1 plants  Prescott Wind Energy LLC
    37.8 MW     1 plants  Lookout Windpower, LLC
    36.8 MW     1 plants  FPL Energy Montezuma Wind
      36 MW     1 plants  Big Blue Wind Farm LLC (MN)
    34.7 MW     4 plants  Echo 1
    34.2 MW     1 plants  CPV Saddleback Ridge Wind, LLC
    30.6 MW     2 plants  CalWind Resources Inc
    30.1 MW     3 plants  Wind Stream Operations LLC
      30 MW     2 plants  CHI Energy Inc
      30 MW     1 plants  Kimball Wind, LLC
      30 MW     1 plants  Deepwater Wind Block Island LLC
      30 MW     1 plants  Red Horse 2
      30 MW     1 plants  Fair Wind Power Partners, LLC
      30 MW     1 plants  Mesa Wind Repower
    29.9 MW     1 plants  AEM Wind LLC
    29.4 MW     1 plants  Forward Windpower, LLC
    28.8 MW     1 plants  Antrim Wind Energy LLC
    28.5 MW    15 plants  CHI Operations Inc
    27.6 MW     1 plants  Na Pua Makani Power Partners LLC
